subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159015,0,,5256157,5256128,5256351,-29,-1,224,638.9,372.3
e159015,0,,5256157,5256392,5256845,235,15,454,802.8,445.5
e159015,0,,5256157,5257042,5257527,885,54,486,185.4,582.8
e159015,0,,5256157,5257608,5257937,1451,87,330,806.3,551.5
e159015,0,,5256157,5257993,5258514,1836,111,522,465.6,578.0
e159015,0,,5256157,5258539,5258776,2382,143,238,507.3,519.5
e159015,0,,5256157,5258825,5259277,2668,160,453,787.7,487.7
e159015,0,,5256157,5259290,5259523,3133,188,234,789.3,470.0
e159015,0,,5256157,5259577,5259988,3420,205,412,480.0,479.4
e159015,0,,5256157,5260023,5260372,3866,232,350,613.4,365.8
e159015,0,,5256157,5260394,5260650,4237,254,257,574.6,313.1
e159015,0,,5256157,5260701,5261035,4544,273,335,244.1,574.7
e159015,0,,5256157,5261054,5261526,4897,294,473,275.4,548.6
e159015,0,,5256157,5261766,5262013,5609,337,248,348.6,377.2
e159015,0,,5256157,5262031,5262721,5874,353,691,397.1,350.7
e159015,0,,5256157,5262773,5263037,6616,397,265,376.7,639.6
e159015,0,,5256157,5263050,5263323,6893,414,274,366.4,637.3
e159015,0,,5256157,5263369,5263769,7212,433,401,427.1,361.3
e159015,0,,5256157,5263819,5264314,7662,460,496,188.5,610.3
e159015,0,,5256157,5264336,5264693,8179,491,358,271.3,627.8
e159015,0,,5256157,5264715,5265566,8558,513,852,363.4,643.8
e159015,0,,5256157,5265854,5266052,9697,582,199,383.5,630.2
e159015,0,,5256157,5266062,5266689,9905,594,628,380.3,649.2
e159015,0,,5256157,5266735,5267014,10578,635,280,175.7,580.4
e159015,0,,5256157,5267026,5267498,10869,652,473,171.8,603.7
e159015,0,,5256157,5267720,5267977,11563,694,258,301.7,593.4
e159015,0,,5256157,5267999,5268347,11842,710,349,378.8,616.4
e159015,0,,5256157,5268359,5269295,12202,732,937,382.7,644.2
e159015,0,,5256157,5269335,5269540,13178,790,206,238.6,524.0
e159015,0,,5256157,5269561,5269839,13404,804,279,195.8,562.7
e159015,0,,5256157,5269860,5270039,13703,822,180,261.7,571.3
e159015,0,,5256157,5270067,5270409,13910,834,343,377.3,646.1
e159015,0,,5256157,5270425,5270907,14268,856,483,381.1,619.1
e159015,0,,5256157,5270953,5271150,14796,887,198,163.0,545.0
e159015,0,,5256157,5271511,5271798,15354,921,288,146.5,595.0
e159015,0,,5256157,5271842,5272574,15685,941,733,353.0,626.3
e159015,0,,5256157,5272586,5272854,16429,985,269,377.9,626.6
e159015,0,,5256157,5272872,5273233,16715,1002,362,343.8,635.3
e159015,0,,5256157,5273540,5273813,17383,1042,274,359.6,649.0
e159015,0,,5256157,5273856,5274148,17699,1061,293,193.3,546.8
e159015,0,,5256157,5274160,5274389,18003,1080,230,171.2,546.2
e159015,0,,5256157,5274662,5275246,18505,1110,585,369.1,625.0
e159015,0,,5256157,5275275,5275688,19118,1146,414,291.8,558.9
e159015,0,,5256157,5275713,5276115,19556,1173,403,336.9,611.7
e159015,0,,5256157,5276158,5276389,20001,1199,232,190.7,539.9
e159015,0,,5256157,5276401,5276703,20244,1214,303,167.4,544.3
e159015,0,,5256157,5276746,5277343,20589,1235,598,361.3,566.7
e159015,0,,5256157,5277394,5277674,21237,1273,281,464.8,327.9
e159015,0,,5256157,5277692,5277948,21535,1291,257,587.8,326.7
e159015,0,,5256157,5278000,5278285,21843,1310,286,905.2,534.0
e159015,0,,5256157,5278308,5278626,22151,1328,319,963.3,575.0
e159015,0,,5256157,5278923,5279421,22766,1365,499,1000.7,573.6
e159015,0,,5256157,5279434,5280588,23277,1396,1155,1006.0,562.8
e159015,0,,5256157,5280610,5281052,24453,1466,443,1006.3,515.1
e159015,0,,5256157,5281096,5281398,24939,1495,303,860.4,394.6
e159015,0,,5256157,5281423,5281634,25266,1515,212,791.1,488.9
e159015,0,,5256157,5281679,5282196,25522,1530,518,479.1,551.9
e159015,0,,5256157,5282240,5282615,26083,1564,376,245.8,594.8
e159015,0,,5256157,5282636,5283848,26479,1588,1213,283.8,607.4
e159015,0,,5256157,5283932,5284255,27775,1665,324,1002.1,559.6
e159015,0,,5256157,5284303,5284613,28146,1688,311,1161.4,373.1
e159015,0,,5256157,5284654,5284852,28497,1709,199,1060.3,526.5
e159015,0,,5256157,5285186,5285781,29029,1741,596,1068.0,581.8
e159015,0,,5256157,5285832,5286293,29675,1779,462,880.2,376.5
e159015,0,,5256157,5286336,5287072,30179,1809,737,969.1,437.3
e159015,0,,5256157,5287340,5287579,31183,1870,240,442.4,522.0
e159015,0,,5256157,5287873,5288355,31716,1902,483,295.5,564.2
e159015,0,,5256157,5288374,5289230,32217,1932,857,249.0,549.9
e159015,0,,5256157,5289247,5289758,33090,1984,512,276.6,548.1
e159015,0,,5256157,5289777,5290161,33620,2016,385,320.8,558.7
e159015,0,,5256157,5290175,5290787,34018,2040,613,321.1,523.4
e159015,0,,5256157,5291059,5291761,34902,2093,703,337.6,515.2
e159015,0,,5256157,5291771,5294443,35614,2135,2673,332.2,505.2
e159015,0,,5256157,5294727,5296040,38570,2312,1314,326.3,540.0
e159015,0,,5256157,5296301,5296603,40144,2407,303,303.1,534.0
e159015,0,,5256157,5296616,5298724,40459,2426,2109,328.1,516.1
e159015,0,,5256157,5298739,5299518,42582,2553,780,321.1,519.5
e159015,0,,5256157,5299880,5300022,43723,2621,143,351.0,548.4
e159015,0,,5256157,5300038,5301205,43881,2631,1168,310.0,510.5
e159015,0,,5256157,5301621,5302672,45464,2726,1052,326.3,513.1
e159015,0,,5256157,5302692,5302753,46535,2790,62,386.4,519.4
e159015,0,,5256157,5303155,5303452,46998,2818,298,414.5,541.7
e159015,0,,5256157,5303467,5304246,47310,2836,780,396.5,515.3
e159015,0,,5256157,5304563,5305020,48406,2902,458,419.5,510.4
e159015,0,,5256157,5305029,5306393,48872,2930,1365,400.4,505.0
e159015,0,,5256157,5306406,5306707,50249,3012,302,376.6,507.8
e159015,0,,5256157,5307043,5307495,50886,3051,453,371.8,521.1
e159015,0,,5256157,5307513,5308353,51356,3079,841,391.4,503.3
e159015,0,,5256157,5308681,5308872,52524,3149,192,412.2,511.9
e159015,0,,5256157,5308890,5309914,52733,3161,1025,387.1,503.0
e159015,0,,5256157,5310224,5312087,54067,3241,1864,380.5,509.0
e159015,0,,5256157,5312124,5312529,55967,3355,406,207.2,596.8
e159015,0,,5256157,5312546,5312592,56389,3380,47,255.4,582.4
e159015,0,,5256157,5312937,5313144,56780,3404,208,341.4,541.2
