subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159042,0,,3826433,3826770,3826967,337,21,198,631.5,385.0,628.5,449.2,2.04,64.27005523570054
e159042,0,,3826433,3827249,3827268,816,49,20,600.2,413.4,554.9,445.3,1.66,55.404873431856224
e159042,0,,3826433,3827511,3827524,1078,65,14,551.6,449.7,563.2,479.2,0.99,31.698738145232223
e159042,0,,3826433,3827873,3827915,1440,87,43,569.3,492.5,722.6,404.8,5.25,176.61307992331717
e159042,0,,3826433,3828201,3828219,1768,106,19,710.1,392.8,666.7,415.6,1.46,49.0244836790761
e159042,0,,3826433,3828905,3828929,2472,149,25,678.0,414.5,646.8,470.9,2.0,64.45463520957976
e159042,0,,3826433,3829840,3829861,3407,205,22,642.0,487.0,614.9,450.0,1.41,45.86294800816887
e159042,0,,3826433,3830209,3830249,3776,227,41,614.4,438.2,786.8,388.1,5.27,179.53208626872242
e159042,0,,3826433,3830667,3830715,4234,254,49,767.5,317.2,522.2,445.5,8.23,276.8266244420865
e159042,0,,3826433,3830933,3830963,4500,270,31,528.2,437.4,410.7,444.4,3.41,117.70832595870189
e159042,0,,3826433,3831322,3831345,4889,294,24,420.6,442.7,489.5,478.6,2.29,77.69182711199421
e159042,0,,3826433,3831801,3831871,5368,322,71,503.8,489.3,1180.8,448.5,18.98,678.2283096421146
e159042,0,,3826433,3832002,3832037,5569,334,36,1125.5,339.4,1245.3,254.6,4.19,146.77561105306285
e159042,0,,3826433,3833094,3833166,6661,400,73,1061.0,183.8,339.7,186.2,20.55,721.3039927797433
e159042,0,,3826433,3833551,3833560,7118,427,10,353.4,162.7,336.2,166.1,0.51,17.532826355154484
e159042,0,,3826433,3833672,3833897,7239,434,226,337.1,177.4,1169.0,311.0,23.74,842.5595349884778
e159042,0,,3826433,3834388,3834448,7955,477,61,1129.1,182.8,749.5,510.3,14.85,501.3505859176789
e159042,0,,3826433,3834514,3834723,8081,485,210,763.7,493.9,575.4,595.9,6.27,214.15155848137093
e159042,0,,3826433,3835267,3835298,8834,530,32,531.9,611.2,502.5,489.3,3.86,125.39525509364383
e159042,0,,3826433,3835536,3835579,9103,546,44,497.6,462.8,778.8,366.8,8.72,297.13539001606654
e159042,0,,3826433,3836033,3836306,9600,576,274,770.9,277.7,648.8,475.0,7.22,232.0252141470836
e159042,0,,3826433,3837248,3837314,10815,649,67,628.4,465.8,1068.6,423.7,12.61,442.20860462003674
e159042,0,,3826433,3837483,3837507,11050,663,25,1016.2,291.1,1096.3,271.7,2.34,82.41583585695159
e159042,0,,3826433,3837822,3837836,11389,683,15,1022.5,232.0,992.4,223.8,0.9,31.19695497961301
e159042,0,,3826433,3838080,3838089,11647,699,10,963.0,217.0,945.7,211.0,0.53,18.310925700247882
e159042,0,,3826433,3838656,3838706,12223,733,51,918.9,237.6,620.4,435.6,10.71,358.1986180877866
e159042,0,,3826433,3838902,3838922,12469,748,21,624.1,433.0,643.1,485.2,1.74,55.55033753272791
e159042,0,,3826433,3839181,3839425,12748,765,245,659.5,489.0,628.1,506.3,1.06,35.85038354048669
